% SenecaTraining log file generated with citation-logger with CVS tag $Id: CitationLogger.cxx,v 1.1.1.1 2022/02/17 15:04:28 matteopiras Exp $
% eventID at start: 70; loaded inco file: EHRD_gps.inco
% Notes: 
% run started on Thu Apr  7 12:36:16 2022
% 
time	Y_p	Y_q	Y_r	Y_vtas	Y_alpha	Y_beta	Y_phi	Y_theta	Y_psi	Y_h	Y_x	Y_y	Y_pdot	Y_qdot	Y_rdot	Y_vtasdot	Y_hdot	Y_ralt	Y_m	Y_uwinde	Y_vwinde	Y_wwinde	Y_fxcg	Y_fycg	Y_fzcg	Y_n	Y_gamma	Y_chi	Y_vground	Y_torqueleft	Y_rpmleft	Y_rpmleft_IGNORE	Y_torqueright	Y_rpmright	Y_rpmright_IGNORE	Y_flaps_IGNORE	Y_gear_IGNORE	Y_de0	Y_da0	Y_dr0	Y_dte0	Y_dta0	Y_dtr0	Y_df0	Y_gear0	Y_pla10	Y_pla20	APstate	curVerticalState	curLateralState	theta_erf	phi_ref	ap_de	ap_da	ap_dr	target_alt	target_speed	hdg_bug	target_vs	alt_hold	active_nav_source	course	altitude_target_vnav	active_leg	needle_deviation	dme	brg	nav_R	Button_Press	alt_select_GUI	hdg_select_GUI	crs_select_GUI	turbulence	wind_shear	turb_int	wind_vel	wind_dir	GPS_failure	VOR_failure	ADC_failure	PFD_failure	GMU_failure	HSI_failure	AFCS_pit	AFCS_rol	clogged_sp	clogged_pt	
0	-0.000280524	-0.00433794	0.0018257	64.0753	0.0188202	0.000366305	-0.00729324	0.0139963	1.57082	457.307	10000	40000.6	-0.00104686	-0.432984	0.000339507	-1.0986	-0.308889	457.307	0.189283	0	0	0	-0.933087	-0.00317806	-11.3157	1.15388	-0.00482074	1.57132	64.0753	0.0149825	2799.14	2799.14	0.0149825	2799.14	2799.14	0	0.998333	0.0412	0	0	0	0	0	0	0.998333	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-9.3186e-06	4.60604	64.4652	8530.38	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.04	0.000143413	-0.0141897	-0.000307053	63.9686	0.0176932	7.43535e-06	-0.00729376	0.0135722	1.57083	457.295	10000	40003.2	-0.00110555	-0.188454	0.000297191	-1.08603	-0.263584	457.295	0.188968	0	0	0	-0.930771	-0.000332683	-11.0678	1.1286	-0.00412054	1.57096	63.9686	0.0150067	2794.61	2794.61	0.0150067	2794.61	2794.61	0	0.991667	0.0412	0	0	0	0	0	0	0.991667	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.000137531	4.60479	64.4578	8528.07	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.08	8.72054e-05	-0.0186185	0.00126429	63.9379	0.016017	0.000265424	-0.00729408	0.012881	1.57085	457.285	10000	40005.8	-0.0021125	-0.116404	0.000276804	-1.07587	-0.200362	457.285	0.188877	0	0	0	-0.933299	-0.00245041	-10.828	1.10415	-0.00313371	1.57124	63.9379	0.0150304	2790.21	2790.21	0.0150304	2790.21	2790.21	0	0.985	0.0412	0	0	0	0	0	0	0.985	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.000405613	4.60354	64.4503	8525.76	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.12	0.000123937	-0.0196037	0.00133869	63.871	0.0140318	0.000271461	-0.00728564	0.0121747	1.57096	457.28	10000	40008.3	-0.00226051	-0.0728047	0.000245255	-1.06602	-0.118467	457.28	0.18868	0	0	0	-0.936268	-0.00249572	-10.5504	1.07584	-0.00185479	1.57134	63.871	0.0150533	2785.95	2785.95	0.0150533	2785.95	2785.95	0	0.978333	0.0412	0	0	0	0	0	0	0.978333	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.000806762	4.6023	64.4429	8523.45	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.16	5.26842e-05	-0.0230324	0.00187072	63.8909	0.0129798	0.000356938	-0.00728249	0.0113394	1.57093	457.276	10000	40010.9	-0.00236384	-0.0426094	0.000237972	-1.05542	-0.104616	457.276	0.188738	0	0	0	-0.936366	-0.00317321	-10.4161	1.06214	-0.00163741	1.57138	63.8909	0.0150757	2781.82	2781.82	0.0150757	2781.82	2781.82	0	0.971667	0.0412	0	0	0	0	0	0	0.971667	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.00133422	4.60105	64.4355	8521.15	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.2	-0.00015796	-0.0224117	0.00307418	63.8578	0.0115145	0.000553099	-0.00728259	0.0103797	1.57096	457.271	10000	40013.4	-0.00241382	0.0246502	0.000236413	-1.0431	-0.0721848	457.271	0.188641	0	0	0	-0.936666	-0.00470674	-10.2113	1.04126	-0.0011304	1.5716	63.8578	0.0150974	2777.81	2777.81	0.0150974	2777.81	2777.81	0	0.965	0.0412	0	0	0	0	0	0	0.965	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.00198171	4.59981	64.4281	8518.84	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.24	-0.000278451	-0.0223054	0.00097061	63.857	0.0104108	0.00019363	-0.00729248	0.00947961	1.57106	457.269	9999.99	40016	2.81124e-06	0.0163785	0.000189051	-1.0312	-0.0593544	457.269	0.188638	0	0	0	-0.935444	-0.0016613	-10.0786	1.02773	-0.000929489	1.57133	63.857	0.0151186	2773.93	2773.93	0.0151186	2773.93	2773.93	0	0.958333	0.0412	0	0	0	0	0	0	0.958333	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.00274356	4.59856	64.4207	8516.54	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.28	-0.000244455	-0.0194516	-0.00227114	63.7397	0.00897011	-0.000353615	-0.00729372	0.00863793	1.57105	457.267	9999.99	40018.5	0.0027051	0.0353961	0.000127026	-1.01784	-0.0213226	457.267	0.188292	0	0	0	-0.932659	0.002865	-9.86597	1.00605	-0.000334526	1.57076	63.7397	0.0151391	2770.17	2770.17	0.0151391	2770.17	2770.17	0	0.951667	0.0412	0	0	0	0	0	0	0.951667	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.00361392	4.59732	64.4132	8514.24	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.32	-0.000597807	-0.0173806	0.00026188	63.719	0.00778319	6.59159e-05	-0.00731179	0.00794726	1.57103	457.268	9999.99	40021.1	0.00211811	0.0256592	0.000144855	-1.00891	0.0104989	457.268	0.18823	0	0	0	-0.931667	-0.000459847	-9.72058	0.991224	0.000164768	1.57116	63.719	0.015159	2766.52	2766.52	0.015159	2766.52	2766.52	0	0.945	0.0412	0	0	0	0	0	0	0.945	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.00458716	4.59608	64.4058	8511.94	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.36	-0.00065206	-0.0169582	0.00433646	63.6538	0.00712886	0.000741227	-0.00733355	0.00726685	1.57113	457.268	9999.99	40023.6	-0.00109682	0.031463	0.000162578	-0.99729	0.00914185	457.268	0.188038	0	0	0	-0.927316	-0.00598891	-9.62086	0.981055	0.000143618	1.57193	63.6538	0.0151784	2762.99	2762.99	0.0151784	2762.99	2762.99	0	0.938333	0.0412	0	0	0	0	0	0	0.938333	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.00565826	4.59484	64.3984	8509.65	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.4	-0.0006493	-0.0175413	0.0039818	63.6282	0.00692118	0.000672814	-0.00736009	0.00647391	1.57125	457.267	9999.99	40026.2	-0.000692254	0.0508481	0.0001095	-0.984537	-0.0281321	457.267	0.187962	0	0	0	-0.922566	-0.00540382	-9.58315	0.977209	-0.000442132	1.57198	63.6282	0.0151972	2759.57	2759.57	0.0151972	2759.57	2759.57	0	0.931667	0.0412	0	0	0	0	0	0	0.931667	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.0068225	4.5936	64.391	8507.35	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.44	-0.000648929	-0.0124827	0.00258229	63.611	0.00552598	0.000428712	-0.00738491	0.00588604	1.57138	457.267	9999.98	40028.7	0.000622097	0.0297031	4.14464e-05	-0.977558	0.023115	457.267	0.187911	0	0	0	-0.921945	-0.0033729	-9.42141	0.960716	0.000363381	1.57184	63.611	0.0152155	2756.26	2756.26	0.0152155	2756.26	2756.26	0	0.925	0.0412	0	0	0	0	0	0	0.925	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.00807536	4.59236	64.3836	8505.06	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
