% SenecaTraining log file generated with citation-logger with CVS tag $Id: CitationLogger.cxx,v 1.1.1.1 2022/02/17 15:04:28 matteopiras Exp $
% eventID at start: 70; loaded inco file: GearTuning.inco
% Notes: 
% run started on Thu Apr  7 14:29:30 2022
% 
time	Y_p	Y_q	Y_r	Y_vtas	Y_alpha	Y_beta	Y_phi	Y_theta	Y_psi	Y_h	Y_x	Y_y	Y_pdot	Y_qdot	Y_rdot	Y_vtasdot	Y_hdot	Y_ralt	Y_m	Y_uwinde	Y_vwinde	Y_wwinde	Y_fxcg	Y_fycg	Y_fzcg	Y_n	Y_gamma	Y_chi	Y_vground	Y_torqueleft	Y_rpmleft	Y_rpmleft_IGNORE	Y_torqueright	Y_rpmright	Y_rpmright_IGNORE	Y_flaps_IGNORE	Y_gear_IGNORE	Y_de0	Y_da0	Y_dr0	Y_dte0	Y_dta0	Y_dtr0	Y_df0	Y_gear0	Y_pla10	Y_pla20	APstate	curVerticalState	curLateralState	theta_erf	phi_ref	ap_de	ap_da	ap_dr	target_alt	target_speed	hdg_bug	target_vs	alt_hold	active_nav_source	course	altitude_target_vnav	active_leg	needle_deviation	dme	brg	nav_R	Button_Press	alt_select_GUI	hdg_select_GUI	crs_select_GUI	turbulence	wind_shear	turb_int	wind_vel	wind_dir	GPS_failure	VOR_failure	ADC_failure	PFD_failure	GMU_failure	HSI_failure	AFCS_pit	AFCS_rol	clogged_sp	clogged_pt	
0	-0.000619172	-0.0112583	0.00431402	46.2984	0.0275865	0.00109706	-0.00729627	0.013954	1.57084	914.614	10000	40000.5	-0.00110389	-0.971241	0.000250265	-0.431813	-0.630739	914.614	0.137487	0	0	0	-0.389119	-0.0046295	-6.39658	0.65227	-0.0136238	1.57214	46.2984	0.0341063	2800	2800	0.0341063	2800	2800	0	1	0.0872	0	0	0	0	0	0	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-6.7914e-06	4.60612	64.4657	8530.54	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.04	0.000331279	-0.0555069	0.000553308	46.1691	0.0294286	0.000194924	-0.00729677	0.0125059	1.57091	914.585	10000	40002.3	-0.00172819	-0.95163	0.000129373	-0.234546	-0.781162	914.585	0.137103	0	0	0	-0.209974	-0.00107218	-6.47722	0.660492	-0.0169204	1.57132	46.1691	0.0341833	2793.69	2793.69	0.0341833	2793.69	2793.69	0	1	0.0872	0	0	0	0	0	0	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-9.94501e-05	4.60522	64.4603	8528.87	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.08	0.000246624	-0.0849485	0.00355233	46.1855	0.028747	0.000878071	-0.00729595	0.00961696	1.57101	914.551	10000	40004.2	-0.00302389	-0.697011	5.25989e-05	-0.0892475	-0.883143	914.551	0.137152	0	0	0	-0.0932285	-0.00392686	-6.38672	0.651265	-0.0191228	1.5721	46.1855	0.0341772	2794.19	2794.19	0.0341772	2794.19	2794.19	0	1	0.0872	0	0	0	0	0	0	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.000293243	4.60432	64.455	8527.2	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.12	0.000437917	-0.103082	0.00402871	46.1384	0.0262392	0.000967689	-0.00727356	0.00594982	1.57129	914.516	9999.99	40006	-0.00375221	-0.511011	-1.61093e-05	0.0208125	-0.935697	914.516	0.137012	0	0	0	-0.0158525	-0.00433871	-6.18297	0.630488	-0.0202816	1.57245	46.1384	0.0342108	2791.44	2791.44	0.0342108	2791.44	2791.44	0	1	0.0872	0	0	0	0	0	0	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.000583357	4.60342	64.4496	8525.54	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.16	0.000257279	-0.122209	0.00488983	46.2566	0.0253838	0.00114936	-0.00726002	0.00146761	1.57131	914.476	9999.99	40007.9	-0.00360254	-0.372285	-5.01082e-05	0.121411	-1.10576	914.476	0.137363	0	0	0	0.0425137	-0.00507871	-6.12702	0.624782	-0.0239071	1.57265	46.2566	0.034242	2788.9	2788.9	0.034242	2788.9	2788.9	0	1	0.0872	0	0	0	0	0	0	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.000964806	4.60252	64.4442	8523.88	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.2	-0.000184432	-0.131612	0.00715773	46.2795	0.022972	0.00166067	-0.0072558	-0.00370775	1.57145	914.428	9999.99	40009.7	-0.00348602	-0.203825	-6.36537e-05	0.202865	-1.23399	914.428	0.137431	0	0	0	0.077975	-0.00713956	-5.94522	0.606243	-0.0266671	1.57327	46.2795	0.0342322	2789.69	2789.69	0.0342322	2789.69	2789.69	0	1	0.0872	0	0	0	0	0	0	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.00143322	4.60162	64.4389	8522.21	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.24	-0.000413539	-0.139453	0.00357979	46.3644	0.0209008	0.000796286	-0.00727341	-0.00914564	1.57173	914.375	9999.98	40011.6	-0.000583428	-0.152163	-8.71808e-05	0.27403	-1.39258	914.375	0.137683	0	0	0	0.101252	-0.00336892	-5.82531	0.594017	-0.0300401	1.57268	46.3644	0.0342229	2790.44	2790.44	0.0342229	2790.44	2790.44	0	1	0.0872	0	0	0	0	0	0	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.00198493	4.60072	64.4335	8520.54	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.28	-0.000379369	-0.140284	-0.00243759	46.2347	0.0175807	-0.000631326	-0.00726924	-0.0147567	1.57181	914.317	9999.98	40013.4	0.00297491	-0.0772752	-0.000136833	0.335275	-1.49504	914.317	0.137298	0	0	0	0.116162	0.00276368	-5.57313	0.568301	-0.0323415	1.5713	46.2347	0.0342143	2791.14	2791.14	0.0342143	2791.14	2791.14	0	1	0.0872	0	0	0	0	0	0	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.00261565	4.59982	64.4281	8518.87	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.32	-0.00122405	-0.140632	0.00209492	46.285	0.014453	0.000414512	-0.00730523	-0.0202922	1.57188	914.257	9999.98	40015.2	0.00292606	-0.0564098	-0.000128473	0.385611	-1.6077	914.257	0.137447	0	0	0	0.12286	-0.00147262	-5.38787	0.54941	-0.0347418	1.5724	46.285	0.0342062	2791.8	2791.8	0.0342062	2791.8	2791.8	0	1	0.0872	0	0	0	0	0	0	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.00332124	4.59892	64.4227	8517.21	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.36	-0.00133418	-0.14297	0.009778	46.2551	0.0124998	0.00219471	-0.00735801	-0.025953	1.57216	914.189	9999.97	40017.1	-0.00131948	-0.0202358	-0.000121278	0.441529	-1.77744	914.189	0.137358	0	0	0	0.130349	-0.00904275	-5.25048	0.535399	-0.0384363	1.57445	46.2551	0.0341986	2792.42	2792.42	0.0341986	2792.42	2792.42	0	1	0.0872	0	0	0	0	0	0	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.00409835	4.59802	64.4173	8515.54	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
