% SenecaTraining log file generated with citation-logger with CVS tag $Id: CitationLogger.cxx,v 1.1.1.1 2022/02/17 15:04:28 matteopiras Exp $
% eventID at start: 70; loaded inco file: GearTuning.inco
% Notes: 
% run started on Fri Apr  8 10:24:32 2022
% 
time	Y_p	Y_q	Y_r	Y_vtas	Y_alpha	Y_beta	Y_phi	Y_theta	Y_psi	Y_h	Y_x	Y_y	Y_pdot	Y_qdot	Y_rdot	Y_vtasdot	Y_hdot	Y_ralt	Y_m	Y_uwinde	Y_vwinde	Y_wwinde	Y_fxcg	Y_fycg	Y_fzcg	Y_n	Y_gamma	Y_chi	Y_vground	Y_torqueleft	Y_rpmleft	Y_rpmleft_IGNORE	Y_torqueright	Y_rpmright	Y_rpmright_IGNORE	Y_flaps_IGNORE	Y_gear_IGNORE	Y_de0	Y_da0	Y_dr0	Y_dte0	Y_dta0	Y_dtr0	Y_df0	Y_gear0	Y_pla10	Y_pla20	APstate	curVerticalState	curLateralState	theta_erf	phi_ref	ap_de	ap_da	ap_dr	target_alt	target_speed	hdg_bug	target_vs	alt_hold	active_nav_source	course	altitude_target_vnav	active_leg	needle_deviation	dme	brg	nav_R	Button_Press	alt_select_GUI	hdg_select_GUI	crs_select_GUI	turbulence	wind_shear	turb_int	wind_vel	wind_dir	GPS_failure	VOR_failure	ADC_failure	PFD_failure	GMU_failure	HSI_failure	AFCS_pit	AFCS_rol	clogged_sp	clogged_pt	
0	-0.000619172	-0.0111203	0.00431402	46.2984	0.0275833	0.00109706	-0.00729627	0.0139547	1.57084	914.614	10000	40000.5	-0.00110392	-0.957564	0.000250277	-0.433903	-0.630562	914.614	0.137487	0	0	0	-0.390701	-0.0046295	-6.41437	0.654084	-0.0136199	1.57214	46.2984	0.0341063	2800	2800	0.0341063	2800	2800	0	1	0.0862	0	0	0	0	0	0.0014	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-6.7914e-06	4.60612	64.4657	8530.54	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.04	0.000331277	-0.0547726	0.000553319	46.1687	0.0293806	0.000194927	-0.00729677	0.0125239	1.57091	914.585	10000	40002.3	-0.00172821	-0.936294	0.000129464	-0.245658	-0.778114	914.585	0.137102	0	0	0	-0.217692	-0.00107217	-6.58144	0.67112	-0.0168545	1.57132	46.1687	0.0341833	2793.69	2793.69	0.0341833	2793.69	2793.69	0	1	0.0862	0	0	0	0	0	0.007	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-9.94501e-05	4.60522	64.4603	8528.87	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.08	0.000246597	-0.0835637	0.00355234	46.1845	0.0286041	0.000878087	-0.00729595	0.00967717	1.57101	914.551	10000	40004.2	-0.00302515	-0.680372	5.33639e-05	-0.110143	-0.873744	914.551	0.137149	0	0	0	-0.107593	-0.00392662	-6.57756	0.670725	-0.0189197	1.5721	46.1845	0.0341772	2794.19	2794.19	0.0341772	2794.19	2794.19	0	1	0.0862	0	0	0	0	0	0.0126	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.000293243	4.60432	64.455	8527.2	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.12	0.000437768	-0.101007	0.00402884	46.1363	0.0259537	0.000967732	-0.00727354	0.0060791	1.57129	914.517	9999.99	40006	-0.00375475	-0.49341	-1.43176e-05	-0.010138	-0.916524	914.517	0.137006	0	0	0	-0.0373555	-0.00433815	-6.4586	0.658594	-0.0198669	1.57244	46.1363	0.0342108	2791.44	2791.44	0.0342108	2791.44	2791.44	0	1	0.0862	0	0	0	0	0	0.0182	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.000583357	4.60342	64.4496	8525.54	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.16	0.000257159	-0.119406	0.00488981	46.2531	0.0249123	0.0011494	-0.00726001	0.0016943	1.57131	914.478	9999.99	40007.9	-0.00360841	-0.353568	-4.6898e-05	0.0794941	-1.07339	914.478	0.137352	0	0	0	0.0135288	-0.0050775	-6.4877	0.661561	-0.023209	1.57264	46.2531	0.034242	2788.9	2788.9	0.034242	2788.9	2788.9	0	1	0.0862	0	0	0	0	0	0.0238	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.000964806	4.60252	64.4442	8523.88	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.2	-0.000184709	-0.128039	0.00715766	46.274	0.0222725	0.00166078	-0.00725575	-0.00335362	1.57144	914.431	9999.99	40009.7	-0.00349948	-0.184276	-5.7843e-05	0.150036	-1.1851	914.431	0.137414	0	0	0	0.0411627	-0.00713721	-6.38774	0.651369	-0.0256134	1.57327	46.274	0.0342322	2789.69	2789.69	0.0342322	2789.69	2789.69	0	1	0.0862	0	0	0	0	0	0.0294	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.00143322	4.60162	64.4389	8522.21	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.24	-0.000414301	-0.135079	0.00358032	46.3565	0.0199354	0.000796416	-0.00727325	-0.00863265	1.57173	914.381	9999.98	40011.6	-0.000591569	-0.131708	-8.43803e-05	0.209799	-1.32384	914.381	0.137659	0	0	0	0.0563124	-0.00336746	-6.34875	0.647392	-0.0285617	1.57267	46.3565	0.0342229	2790.44	2790.44	0.0342229	2790.44	2790.44	0	1	0.0862	0	0	0	0	0	0.035	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.00198488	4.60072	64.4335	8520.54	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.28	-0.000380124	-0.135087	-0.00243636	46.2241	0.0163109	-0.000631361	-0.00726906	-0.0140524	1.5718	914.326	9999.98	40013.4	0.00298502	-0.0565043	-0.000142973	0.260268	-1.40349	914.326	0.137266	0	0	0	0.0631631	0.0027621	-6.1705	0.629216	-0.0303674	1.57129	46.2241	0.0342143	2791.14	2791.14	0.0342143	2791.14	2791.14	0	1	0.0862	0	0	0	0	0	0.0406	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.00261554	4.59982	64.4281	8518.87	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.32	-0.00122493	-0.134604	0.00209537	46.2712	0.012851	0.000414625	-0.00730499	-0.0193635	1.57187	914.27	9999.98	40015.2	0.00291569	-0.0351285	-0.00013075	0.299295	-1.49019	914.27	0.137406	0	0	0	0.0613625	-0.00147201	-6.06124	0.618075	-0.0322112	1.57238	46.2712	0.0342062	2791.8	2791.8	0.0342062	2791.8	2791.8	0	1	0.0862	0	0	0	0	0	0.0462	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.00332114	4.59892	64.4227	8517.21	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
0.36	-0.00133629	-0.136085	0.00977759	46.2376	0.0105336	0.00219534	-0.00735748	-0.0247661	1.57215	914.208	9999.97	40017.1	-0.0013727	0.00156372	-0.000105142	0.343406	-1.63107	914.208	0.137306	0	0	0	0.0606439	-0.00903516	-5.9955	0.61137	-0.0352832	1.57443	46.2376	0.0341986	2792.42	2792.42	0.0341986	2792.42	2792.42	0	1	0.0862	0	0	0	0	0	0.0518	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.467	0	0	-0.00409814	4.59802	64.4173	8515.54	13	0	0	0	1	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	
