% SenecaTraining log file generated with citation-logger with CVS tag $Id: CitationLogger.cxx,v 1.1.1.1 2022/02/17 15:04:28 matteopiras Exp $
% eventID at start: 70; loaded inco file: EHRD_lg.inco
% Notes: 
% run started on Fri Apr  8 17:11:58 2022
% 
time	Y_p	Y_q	Y_r	Y_vtas	Y_alpha	Y_beta	Y_phi	Y_theta	Y_psi	Y_h	Y_x	Y_y	Y_pdot	Y_qdot	Y_rdot	Y_vtasdot	Y_hdot	Y_ralt	Y_m	Y_uwinde	Y_vwinde	Y_wwinde	Y_fxcg	Y_fycg	Y_fzcg	Y_n	Y_gamma	Y_chi	Y_vground	Y_torqueleft	Y_rpmleft	Y_rpmleft_IGNORE	Y_torqueright	Y_rpmright	Y_rpmright_IGNORE	Y_flaps_IGNORE	Y_gear_IGNORE	Y_de0	Y_da0	Y_dr0	Y_dte0	Y_dta0	Y_dtr0	Y_df0	Y_gear0	Y_pla10	Y_pla20	APstate	curVerticalState	curLateralState	theta_erf	phi_ref	ap_de	ap_da	ap_dr	target_alt	target_speed	hdg_bug	target_vs	alt_hold	active_nav_source	course	altitude_target_vnav	active_leg	needle_deviation	dme	brg	nav_R	Button_Press	alt_select_GUI	hdg_select_GUI	crs_select_GUI	turbulence	wind_shear	turb_int	wind_vel	wind_dir	GPS_failure	VOR_failure	ADC_failure	PFD_failure	GMU_failure	HSI_failure	AFCS_pit	AFCS_rol	clogged_sp	clogged_pt	
0	2.04789e-05	-0.00247504	-0.00110977	64.0842	0.0184169	-0.000121897	-0.00729071	0.0140145	4.50149	457.307	6199.87	19999.4	4.11453e-05	-0.428581	0.000336096	-0.911493	-0.282152	457.307	0.189309	0	0	0	-0.747307	0.000787847	-11.2669	1.1489	-0.00440285	-1.78168	64.0842	0	802.047	802.047	0	802.047	802.047	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-1.10002e-06	2.79471	254.997	5175.81	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.04	2.24089e-05	-0.0127379	-0.00109659	64.0476	0.0172714	-0.000121975	-0.00729043	0.0136942	4.50145	457.297	6199.33	19996.9	5.61926e-05	-0.205155	0.000322443	-0.919879	-0.229142	457.297	0.189201	0	0	0	-0.76434	0.000790727	-11.0441	1.12619	-0.0035777	-1.78173	64.0476	0	812.968	812.968	0	812.968	812.968	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-1.62557e-05	2.79333	254.995	5173.25	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.08	2.50246e-05	-0.019006	-0.00108401	64.0107	0.0159269	-0.000122588	-0.00729001	0.0130481	4.50141	457.289	6198.79	19994.4	7.50535e-05	-0.119671	0.000306208	-0.923314	-0.184299	457.289	0.189092	0	0	0	-0.779078	0.000798622	-10.8356	1.10492	-0.0028792	-1.78178	64.0107	0	823.888	823.888	0	823.888	823.888	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-4.79185e-05	2.79195	254.994	5170.69	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.12	2.84388e-05	-0.0224935	-0.00107213	63.9737	0.0145189	-0.000123706	-0.00728941	0.0122103	4.50137	457.282	6198.26	19991.9	9.58545e-05	-0.0603331	0.00028782	-0.923369	-0.147728	457.282	0.188983	0	0	0	-0.791765	0.000811183	-10.6301	1.08397	-0.0023092	-1.78183	63.9737	0	834.807	834.807	0	834.807	834.807	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-9.52913e-05	2.79057	254.993	5168.13	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.16	3.27016e-05	-0.0240706	-0.00106101	63.9368	0.0131362	-0.000125296	-0.00728861	0.0112735	4.50134	457.277	6197.72	19989.4	0.000117313	-0.0202312	0.000267651	-0.92117	-0.119133	457.277	0.188874	0	0	0	-0.802431	0.000828037	-10.4357	1.06415	-0.00186329	-1.78188	63.9368	0	845.727	845.727	0	845.727	845.727	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.000157535	2.78919	254.991	5165.58	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.2	3.78208e-05	-0.0243744	-0.00105073	63.9	0.0118334	-0.000127322	-0.00728758	0.0103008	4.5013	457.272	6197.19	19986.9	0.000138555	0.00588132	0.000246028	-0.91751	-0.0979736	457.272	0.188765	0	0	0	-0.811232	0.000848793	-10.2569	1.04591	-0.00153323	-1.78193	63.9	0	856.648	856.648	0	856.648	856.648	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.000233886	2.78781	254.99	5163.03	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.24	4.37752e-05	-0.0238657	-0.00104134	63.8634	0.0106416	-0.000129745	-0.00728629	0.00933349	4.50127	457.269	6196.65	19984.4	0.00015899	0.0219607	0.000223247	-0.912948	-0.0835812	457.269	0.188657	0	0	0	-0.818396	0.000873044	-10.0957	1.02948	-0.00130875	-1.78197	63.8634	0	867.568	867.568	0	867.568	867.568	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.000323699	2.78643	254.988	5160.47	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.28	5.05238e-05	-0.0228728	-0.00103288	63.827	0.00957515	-0.000132527	-0.00728472	0.00839712	4.50123	457.266	6196.11	19981.9	0.000178211	0.030967	0.000199581	-0.907869	-0.0752353	457.266	0.18855	0	0	0	-0.824169	0.000900368	-9.95278	1.0149	-0.00117874	-1.78202	63.827	0	878.487	878.487	0	878.487	878.487	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.000426197	2.78506	254.987	5157.92	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.32	5.80122e-05	-0.0216254	-0.00102539	63.7908	0.00863753	-0.000135624	-0.00728282	0.00750619	4.5012	457.263	6195.58	19979.4	0.000195943	0.0350955	0.000175286	-0.902543	-0.0722176	457.263	0.188443	0	0	0	-0.828792	0.00093034	-9.82755	1.00213	-0.0011321	-1.78206	63.7908	0	889.407	889.407	0	889.407	889.407	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.000540802	2.78368	254.985	5155.37	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.36	6.61768e-05	-0.0202799	-0.00101887	63.7548	0.00782498	-0.000138996	-0.00728059	0.00666754	4.50116	457.26	6195.04	19976.9	0.00021199	0.035956	0.000150601	-0.897145	-0.0738434	457.26	0.188336	0	0	0	-0.83248	0.000962529	-9.71889	0.991051	-0.00115824	-1.78211	63.7548	0	900.328	900.328	0	900.328	900.328	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.000666871	2.7823	254.984	5152.83	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.4	7.49472e-05	-0.0189396	-0.00101334	63.719	0.00712942	-0.000142599	-0.00727799	0.0058829	4.50113	457.257	6194.51	19974.4	0.000226215	0.0347141	0.000125757	-0.891778	-0.0794812	457.257	0.188231	0	0	0	-0.835409	0.000996506	-9.62533	0.98151	-0.00124737	-1.78215	63.719	0	911.247	911.247	0	911.247	911.247	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.00080382	2.78093	254.983	5150.28	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.44	8.42483e-05	-0.0176695	-0.00100881	63.6834	0.0065404	-0.000146389	-0.007275	0.00515063	4.50109	457.253	6193.97	19971.9	0.000238516	0.0322021	0.000100969	-0.886501	-0.0885618	457.253	0.188126	0	0	0	-0.837727	0.00103185	-9.54523	0.973343	-0.00139066	-1.78219	63.6834	0	922.167	922.167	0	922.167	922.167	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.000951099	2.77955	254.981	5147.73	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.48	9.40019e-05	-0.0165074	-0.00100526	63.6481	0.00604646	-0.000150325	-0.0072716	0.00446712	4.50106	457.25	6193.44	19969.4	0.000248823	0.0290027	7.64463e-05	-0.881337	-0.100581	457.25	0.188021	0	0	0	-0.839547	0.00106813	-9.47696	0.966381	-0.00158027	-1.78224	63.6481	0	933.088	933.088	0	933.088	933.088	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.00110815	2.77818	254.98	5145.19	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.52	0.000104127	-0.0154723	-0.00100268	63.6129	0.00563602	-0.000154363	-0.00726779	0.0038276	4.50102	457.245	6192.91	19966.9	0.000257086	0.0255161	5.23837e-05	-0.876297	-0.115101	457.245	0.187917	0	0	0	-0.840969	0.00110495	-9.41893	0.960463	-0.00180939	-1.78228	63.6129	0	944.008	944.008	0	944.008	944.008	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.00127449	2.77681	254.978	5142.65	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.56	0.000114541	-0.0145703	-0.00100106	63.578	0.00529794	-0.000158463	-0.00726354	0.00322684	4.50098	457.24	6192.37	19964.4	0.000263274	0.022008	2.89669e-05	-0.871382	-0.131741	457.24	0.187814	0	0	0	-0.842074	0.00114192	-9.36968	0.955442	-0.00207211	-1.78232	63.578	0	954.927	954.927	0	954.927	954.927	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.00144963	2.77544	254.977	5140.11	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.6	0.000125161	-0.0137991	-0.00100036	63.5432	0.0050219	-0.000162583	-0.00725886	0.00265953	4.50095	457.235	6191.84	19961.9	0.000267373	0.0186472	6.36929e-06	-0.866584	-0.150179	457.235	0.187711	0	0	0	-0.842928	0.00117866	-9.32789	0.95118	-0.00236341	-1.78236	63.5432	0	965.847	965.847	0	965.847	965.847	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.00163313	2.77407	254.975	5137.57	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.64	0.000135903	-0.0131514	-0.00100054	63.5087	0.00479853	-0.000166686	-0.00725372	0.00212059	4.50091	457.228	6191.3	19959.5	0.000269388	0.0155327	-1.52487e-05	-0.861883	-0.170141	457.228	0.187609	0	0	0	-0.843575	0.00121482	-9.29238	0.947559	-0.00267903	-1.7824	63.5087	0	976.768	976.768	0	976.768	976.768	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.00182455	2.7727	254.974	5135.03	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.68	0.000146685	-0.0126168	-0.00100156	63.4743	0.00461952	-0.000170733	-0.00724814	0.00160526	4.50088	457.221	6190.77	19957	0.000269341	0.0127165	-3.57399e-05	-0.857264	-0.191399	457.221	0.187508	0	0	0	-0.844058	0.00125006	-9.26213	0.944474	-0.00301538	-1.78245	63.4743	0	987.688	987.688	0	987.688	987.688	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.00202348	2.77133	254.972	5132.5	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.72	0.000157423	-0.0121837	-0.00100338	63.4401	0.00447759	-0.00017469	-0.0072421	0.00110924	4.50084	457.213	6190.24	19954.5	0.000267269	0.0102179	-5.49719e-05	-0.852716	-0.21376	457.213	0.187406	0	0	0	-0.844411	0.00128407	-9.23624	0.941835	-0.00336949	-1.78249	63.4401	0	998.607	998.607	0	998.607	998.607	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.00222949	2.76996	254.971	5129.96	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.76	0.00016804	-0.01184	-0.00100594	63.406	0.00436644	-0.000178524	-0.00723563	0.000628735	4.5008	457.204	6189.71	19952	0.000263228	0.00803457	-7.28271e-05	-0.848223	-0.237067	457.204	0.187306	0	0	0	-0.844664	0.00131656	-9.21396	0.939563	-0.00373888	-1.78253	63.406	0	1009.53	1009.53	0	1009.53	1009.53	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.00244226	2.76859	254.97	5127.43	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.8	0.000178456	-0.011574	-0.00100919	63.3722	0.00428069	-0.000182204	-0.00722871	0.000160388	4.50077	457.194	6189.17	19949.5	0.000257291	0.00615052	-8.92036e-05	-0.843771	-0.261188	457.194	0.187206	0	0	0	-0.844837	0.00134728	-9.19465	0.937594	-0.00412151	-1.78257	63.3722	0	1020.45	1020.45	0	1020.45	1020.45	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.00266141	2.76722	254.968	5124.89	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.84	0.000188599	-0.0113747	-0.00101306	63.3385	0.00421578	-0.000185702	-0.00722136	-0.000298684	4.50073	457.183	6188.64	19947.1	0.000249544	0.00454204	-0.000104016	-0.839349	-0.286017	457.183	0.187106	0	0	0	-0.844948	0.001376	-9.17777	0.935872	-0.0045157	-1.78261	63.3385	0	1031.37	1031.37	0	1031.37	1031.37	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.00288662	2.76586	254.967	5122.36	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.88	0.000198397	-0.0112322	-0.00101748	63.3051	0.00416788	-0.000188993	-0.0072136	-0.000750948	4.50069	457.171	6188.11	19944.6	0.00024009	0.00318172	-0.000117193	-0.834945	-0.311465	457.171	0.187008	0	0	0	-0.845012	0.00140251	-9.16286	0.934352	-0.00492008	-1.78265	63.3051	0	1042.29	1042.29	0	1042.29	1042.29	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.00311755	2.76449	254.965	5119.83	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.92	0.000207785	-0.0111374	-0.00102241	63.2717	0.00413378	-0.000192054	-0.00720544	-0.00119849	4.50065	457.158	6187.57	19942.1	0.000229047	0.00204092	-0.000128684	-0.83055	-0.337461	457.158	0.186909	0	0	0	-0.845039	0.00142664	-9.14957	0.932996	-0.00533355	-1.78269	63.2717	0	1053.21	1053.21	0	1053.21	1053.21	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.00335391	2.76312	254.964	5117.31	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.96	0.000216701	-0.0110826	-0.00102776	63.2386	0.00411083	-0.000194866	-0.0071969	-0.00164307	4.50062	457.144	6187.04	19939.6	0.000216543	0.00109155	-0.000138451	-0.826157	-0.363948	457.144	0.186811	0	0	0	-0.84504	0.00144824	-9.13757	0.931773	-0.00575519	-1.78273	63.2386	0	1064.13	1064.13	0	1064.13	1064.13	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.00359543	2.76176	254.962	5114.78	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
1	0.000225091	-0.0110609	-0.00103346	63.2057	0.00409683	-0.000197413	-0.00718799	-0.00208613	4.50058	457.129	6186.51	19937.2	0.000202716	0.000307593	-0.000146474	-0.821762	-0.390879	457.129	0.186714	0	0	0	-0.845025	0.0014672	-9.12662	0.930656	-0.00618428	-1.78277	63.2057	0	1075.05	1075.05	0	1075.05	1075.05	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.00384181	2.7604	254.961	5112.25	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
1.04	0.000232903	-0.0110665	-0.00103945	63.1729	0.00409	-0.00019968	-0.00717874	-0.00252889	4.50054	457.113	6185.98	19934.7	0.000187716	-0.000335152	-0.000152748	-0.817362	-0.418215	457.113	0.186617	0	0	0	-0.845004	0.00148343	-9.11652	0.929626	-0.00662022	-1.78282	63.1729	0	1085.97	1085.97	0	1085.97	1085.97	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.00409279	2.75903	254.96	5109.73	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
1.08	0.000240095	-0.0110944	-0.00104566	63.1403	0.00408887	-0.000201657	-0.00716917	-0.00297234	4.5005	457.096	6185.45	19932.2	0.000171698	-0.000858685	-0.000157284	-0.812949	-0.445927	457.096	0.186521	0	0	0	-0.844978	0.00149686	-9.1071	0.928666	-0.00706255	-1.78286	63.1403	0	1096.89	1096.89	0	1096.89	1096.89	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.00434812	2.75767	254.958	5107.21	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
