% SenecaTraining log file generated with citation-logger with CVS tag $Id: CitationLogger.cxx,v 1.1.1.1 2022/02/17 15:04:28 matteopiras Exp $
% eventID at start: 502; loaded inco file: Clean_125kts_3500ft_EHGG.inco
% Notes: 
% run started on Fri Apr  8 17:26:35 2022
% 
time	Y_p	Y_q	Y_r	Y_vtas	Y_alpha	Y_beta	Y_phi	Y_theta	Y_psi	Y_h	Y_x	Y_y	Y_pdot	Y_qdot	Y_rdot	Y_vtasdot	Y_hdot	Y_ralt	Y_m	Y_uwinde	Y_vwinde	Y_wwinde	Y_fxcg	Y_fycg	Y_fzcg	Y_n	Y_gamma	Y_chi	Y_vground	Y_torqueleft	Y_rpmleft	Y_rpmleft_IGNORE	Y_torqueright	Y_rpmright	Y_rpmright_IGNORE	Y_flaps_IGNORE	Y_gear_IGNORE	Y_de0	Y_da0	Y_dr0	Y_dte0	Y_dta0	Y_dtr0	Y_df0	Y_gear0	Y_pla10	Y_pla20	APstate	curVerticalState	curLateralState	theta_erf	phi_ref	ap_de	ap_da	ap_dr	target_alt	target_speed	hdg_bug	target_vs	alt_hold	active_nav_source	course	altitude_target_vnav	active_leg	needle_deviation	dme	brg	nav_R	Button_Press	alt_select_GUI	hdg_select_GUI	crs_select_GUI	turbulence	wind_shear	turb_int	wind_vel	wind_dir	GPS_failure	VOR_failure	ADC_failure	PFD_failure	GMU_failure	HSI_failure	AFCS_pit	AFCS_rol	clogged_sp	clogged_pt	
0	0.0013838	-0.00473545	-0.00102686	64.0102	0.0194221	-6.28282e-05	-0.00728496	0.0140298	4.71203	1065.99	-17380.6	-5071.02	0.104706	-0.429788	-0.0116072	-0.856818	-0.345158	1065.99	0.190416	0	0	0	-0.701744	0.00265211	-10.7145	1.09258	-0.00539226	-1.57108	64.0102	0	807.508	807.508	0	807.508	807.508	0	0.005	0.0435797	-0.0143299	0.000975063	0	0	0	0	0.005	0	0	1	1	1	0	0	0.00227212	-0.0278233	-0.00168255	0	0	0	0	0	0	270	0	0	-1.10534e-20	2.69875	270	4998.08	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.04	0.0127961	-0.0188372	0.00219872	63.9711	0.0187513	0.000641348	-0.00702271	0.0135697	4.71204	1065.98	-17380.6	-5073.58	0.348357	-0.273412	-0.0136021	-0.862157	-0.331152	1065.98	0.1903	0	0	0	-0.714941	-0.027742	-10.5646	1.07729	-0.00517661	-1.57037	63.9711	0	818.427	818.427	0	818.427	818.427	0	0.0116667	0.0424649	-0.0541468	-0.00573213	0	0	0	0	0.0116667	0	0	1	1	1	0	0	0.000234432	-0.0587984	0.00271813	0	0	0	0	0	0	270	0	0	-1.0511e-20	2.69737	270	4995.52	13	0	0	0	1	0	0.2	5	30	0	0	0	0	0	0	0	0	0	0	
0.08	0.028497	-0.0137059	0.00492149	63.8878	0.015249	0.00144755	-0.00618368	0.0129425	4.71213	1065.97	-17380.6	-5076.14	0.333855	-0.102508	-0.038048	-0.872336	-0.146767	1065.97	0.190052	0	0	0	-0.740996	-0.0211117	-10.0945	1.02935	-0.00229726	-1.56952	63.8878	0	829.347	829.347	0	829.347	829.347	0	0.0183333	0.0387462	-0.0606392	0.00060097	0	0	0	0	0.0183333	0	0	1	1	1	0	0	-0.00265447	-0.0577439	0.00606317	0	0	0	0	0	0	270	0	0	-6.59127e-08	2.69598	270	4992.96	13	0	0	0	1	0	0.2	5	30	0	0	0	0	0	0	0	0	0	0	
0.12	0.0378589	-0.0185649	-0.00634739	63.8196	0.0146925	-0.000116122	-0.00483416	0.0122087	4.71202	1065.96	-17380.6	-5078.69	0.154828	-0.00632453	0.0028608	-0.870415	-0.158539	1065.96	0.189849	0	0	0	-0.748292	-0.0392138	-9.97617	1.01729	-0.00248417	-1.57121	63.8196	0	840.268	840.268	0	840.268	840.268	0	0.025	0.0365198	-0.0431017	-0.00812486	0	0	0	0	0.025	0	0	1	1	1	0	0	-0.00583999	-0.0372756	-0.0108756	0	0	0	0	0	0	270	0	0	-3.21427e-07	2.69461	270	4990.41	13	0	0	0	1	0	0.2	5	30	0	0	0	0	0	0	0	0	0	0	
0.16	0.0389004	-0.0197056	-0.00450821	63.8573	0.0144308	0.000250859	-0.00327458	0.0114138	4.71186	1065.95	-17380.6	-5081.25	-0.0439349	0.111397	0.0224922	-0.86898	-0.192599	1065.95	0.189961	0	0	0	-0.75542	-0.046206	-9.92397	1.01196	-0.0030161	-1.57103	63.8573	0	851.188	851.188	0	851.188	851.188	0	0.0316667	0.032857	-0.0180066	-0.00932097	0	0	0	0	0.0316667	0	0	1	1	1	0	0	-0.00960416	-0.0114824	-0.00830615	0	0	0	0	0	0	270	0	0	-5.64403e-07	2.69323	270	4987.85	13	0	0	0	1	0	0.2	5	30	0	0	0	0	0	0	0	0	0	0	
0.2	0.0329006	-0.0112204	0.00236643	63.9168	0.0131182	0.00152053	-0.00182062	0.0107636	4.71195	1065.95	-17380.6	-5083.8	-0.182704	0.148843	-0.010366	-0.872403	-0.15032	1065.95	0.190138	0	0	0	-0.767074	-0.0105104	-9.79152	0.998458	-0.00235181	-1.56969	63.9168	0	862.107	862.107	0	862.107	862.107	0	0.0383333	0.0305029	0.00502455	0.00509435	0	0	0	0	0.0383333	0	0	1	1	1	0	0	-0.0114023	0.00986701	0.00147637	0	0	0	0	0	0	270	0	0	-9.26457e-07	2.69185	270	4985.3	13	0	0	0	1	0	0.2	5	30	0	0	0	0	0	0	0	0	0	0	
0.24	0.0236704	-0.00615241	-0.00374556	63.8546	0.0125219	0.000501527	-0.000682839	0.010402	4.71188	1065.94	-17380.6	-5086.36	-0.266255	0.0944044	0.0245173	-0.872334	-0.135342	1065.94	0.189953	0	0	0	-0.771408	-0.0216539	-9.72417	0.991589	-0.00211954	-1.57079	63.8546	0	873.028	873.028	0	873.028	873.028	0	0.045	0.0307252	0.0204142	-0.00232809	0	0	0	0	0.045	0	0	1	1	1	0	0	-0.0101309	0.0238016	-0.00741256	0	0	0	0	0	0	270	0	0	-1.52949e-06	2.69047	270	4982.74	13	0	0	0	1	0	0.2	5	30	0	0	0	0	0	0	0	0	0	0	
0.28	0.0115099	-0.000879423	-0.002159	63.7629	0.011411	0.000592365	2.81999e-06	0.0102929	4.71178	1065.94	-17380.6	-5088.91	-0.258618	-0.0269802	0.0361778	-0.875416	-0.0712933	1065.94	0.18968	0	0	0	-0.776791	-0.025302	-9.60719	0.97966	-0.0011181	-1.57081	63.7629	0	883.948	883.948	0	883.948	883.948	0	0.0516667	0.0329779	0.0257683	-0.00488377	0	0	0	0	0.0516667	0	0	1	1	1	0	0	-0.00616297	0.0247866	-0.00480204	0	0	0	0	0	0	270	0	0	-2.23069e-06	2.68909	270	4980.19	13	0	0	0	1	0	0.2	5	30	0	0	0	0	0	0	0	0	0	0	
0.32	0.0026645	-0.00512142	0.00355368	63.7221	0.0114739	0.00143955	0.000272676	0.0101878	4.71184	1065.93	-17380.6	-5091.46	-0.180467	-0.0883041	0.013257	-0.875662	-0.0819765	1065.93	0.189559	0	0	0	-0.778007	-0.0104855	-9.61404	0.980359	-0.00128647	-1.5699	63.7221	0	894.867	894.867	0	894.867	894.867	0	0.0583333	0.0360502	0.0208894	0.00108383	0	0	0	0	0.0583333	0	0	1	1	1	0	0	-0.00408904	0.0195362	0.00368986	0	0	0	0	0	0	270	0	0	-2.89747e-06	2.68771	270	4977.64	13	0	0	0	1	0	0.2	5	30	0	0	0	0	0	0	0	0	0	0	
0.36	-0.00284883	-0.0156705	0.00502305	63.7144	0.0128182	0.00174426	0.000253144	0.00979267	4.71205	1065.93	-17380.6	-5094.01	-0.0953649	-0.0396414	-0.000498801	-0.869371	-0.192795	1065.93	0.189536	0	0	0	-0.774257	-0.00243089	-9.74029	0.993233	-0.00302594	-1.56939	63.7144	0	905.787	905.787	0	905.787	905.787	0	0.065	0.0366944	0.0129035	0.00392123	0	0	0	0	0.065	0	0	1	1	1	0	0	-0.00602575	0.0109408	0.00572255	0	0	0	0	0	0	270	0	0	-3.92129e-06	2.68633	270	4975.09	13	0	0	0	1	0	0.2	5	30	0	0	0	0	0	0	0	0	0	0	
0.4	-0.00470794	-0.00725915	0.00389796	63.7319	0.0108794	0.00163331	9.44117e-05	0.00939327	4.71221	1065.92	-17380.6	-5096.56	-0.0287847	0.0271254	0.00729234	-0.87483	-0.0947253	1065.92	0.189588	0	0	0	-0.785907	-0.0123358	-9.51596	0.970358	-0.00148631	-1.56934	63.7319	0	916.708	916.708	0	916.708	916.708	0	0.0716666	0.0342032	0.00448663	0.000179414	0	0	0	0	0.0716666	0	0	1	1	1	0	0	-0.00676008	0.00269444	0.00395255	0	0	0	0	0	0	270	0	0	-5.34727e-06	2.68496	270	4972.54	13	0	0	0	1	0	0.2	5	30	0	0	0	0	0	0	0	0	0	0	
0.44	-0.00438213	-0.00527679	-0.00617719	63.6337	0.0100618	5.31672e-05	-9.27671e-05	0.00918248	4.71227	1065.92	-17380.6	-5099.1	0.0248953	-0.0328189	0.013606	-0.875059	-0.0559511	1065.92	0.189296	0	0	0	-0.789023	-0.00952421	-9.41187	0.959743	-0.000879268	-1.57086	63.6337	0	927.628	927.628	0	927.628	927.628	0	0.0783333	0.0360161	-0.0023884	-0.0028686	0	0	0	0	0.0783333	0	0	1	1	1	0	0	-0.00541207	-0.00344907	-0.010874	0	0	0	0	0	0	270	0	0	-7.28587e-06	2.68358	270	4970	13	0	0	0	1	0	0.2	5	30	0	0	0	0	0	0	0	0	0	0	
